date,open,high,low,close,volume
2020-01-02,4.364833206344899,4.548293620266664,4.357188840179772,4.517716884613037,545040391
2020-01-03,4.555937752951793,4.617091221125091,4.51771665309177,4.571226119995117,346599868
2020-01-06,4.54829359934804,4.7393983785559985,4.54829359934804,4.655312538146973,361281620
2020-01-07,4.670601627385428,4.701178367621708,4.578871042173093,4.601803779602051,205106668
2020-01-08,4.5330047607421875,4.5330047607421875,4.5330047607421875,4.5330047607421875,200258600
2020-01-09,4.586514662544161,4.609447396238394,4.525361192030789,4.5788702964782715,166935729
2020-01-10,4.594159395897045,4.60180339807061,4.471852080588821,4.510073184967041,186120203
2020-01-13,4.5482940673828125,4.5482940673828125,4.5482940673828125,4.5482940673828125,154882074
2020-01-14,4.5482940673828125,4.5482940673828125,4.5482940673828125,4.5482940673828125,139472425
2020-01-15,4.548294167584169,4.555938534669179,4.441275579918426,4.456563949584961,151367501
2020-01-16,4.471852160694916,4.479496527508883,4.403054681886575,4.433631420135498,123696581
2020-01-17,4.433631420135498,4.471852160694916,4.403054681886575,4.433631420135498,94310264
2020-01-20,4.433631404032871,4.456563775384539,4.4030546658950005,4.448919773101807,128166868
2020-01-21,4.418342385813397,4.42598638697306,4.318967819213867,4.318967819213867,188922008
2020-01-22,4.303679626785349,4.349544729112126,4.257814524458572,4.3266119956970215,152055266
2020-01-23,4.280746732573546,4.303679465127233,4.135507065075974,4.181372165679932,241172602
2020-02-03,3.7685861624761174,3.8908934705801586,3.7685861624761174,3.8220956325531006,454639861
2020-02-04,3.822095764276605,3.990267817523255,3.822095764276605,3.982623815536499,292723187
2020-02-05,3.9979118955285666,4.051421363588499,3.952046793407237,3.9749791622161865,170036188
2020-02-06,3.9902677889292577,4.10493073393658,3.9444026838270196,4.066709995269775,205407514
2020-02-07,4.020844634570779,4.051421369361905,3.99791190122572,4.028488636016846,131047460
2020-02-10,3.997912607295497,4.104931197964948,3.974979869900295,4.081998825073242,148512106
2020-02-11,4.089642319623496,4.166084160601763,4.066709949581741,4.112575054168701,145654986
2020-02-12,4.120218564859555,4.150795297605928,4.097286197551479,4.127862930297852,101779518
2020-02-13,4.150795473803169,4.234881674676776,4.112574738499473,4.135507106781006,176548822
2020-02-14,4.104930133036429,4.2043046951293945,4.104930133036429,4.2043046951293945,191952048
2020-02-17,4.204305142387536,4.23488187789917,4.1737284068759015,4.23488187789917,216942787
2020-02-18,4.219593778106338,4.219593778106338,4.1355075678577755,4.150795936584473,222431518
2020-02-19,4.135507424210456,4.181372528797416,4.10493068781915,4.112575054168701,203165363
2020-02-20,4.127863565746159,4.158440303199552,4.059065724224293,4.150795936584473,264955416
2020-02-21,4.143151966169073,4.166084337182825,4.1049308618081986,4.1202192306518555,236975540
2020-02-24,4.112574824269414,4.120218825688204,4.036132987564364,4.043776988983154,267135022
2020-02-25,3.974979433624599,4.0208449033810165,3.9444026967892913,3.9979121685028076,261763102
2020-02-26,3.9520471281867366,4.219593762143523,3.9367587595178763,4.166084289550781,662725343
2020-02-27,4.166084337182825,4.196661074870138,4.089642492964542,4.1202192306518555,364294372
2020-02-28,4.051421298156084,4.19666060360956,4.036132931029222,4.104930400848389,464876984
2020-03-02,4.15079619175078,4.479496686336505,4.127863819502721,4.456563949584961,767166923
2020-03-03,4.571226280756589,4.6018030159185646,4.326612034957348,4.403054237365723,602239453
2020-03-04,4.372477734167277,4.510073425669575,4.341900994834208,4.456563949584961,387394163
2020-03-05,4.464208142170742,4.479496511239677,4.395410299108798,4.448919773101807,327057666
2020-03-06,4.410698184175838,4.433630917514485,4.318967979828114,4.34190034866333,253888131
2020-03-09,4.265458658588973,4.280747026506719,4.173728451082498,4.189016819000244,333559052
2020-03-10,4.166084461630917,4.296035782935601,4.166084461630917,4.280747413635254,287214557
2020-03-11,4.296034891905947,4.296034891905947,4.2043046951293945,4.2043046951293945,196637207
2020-03-12,4.166083869355837,4.204304969424704,4.09728639953667,4.104930400848389,256319489
2020-03-13,3.9444023774222807,4.143151515263088,3.9138256430626837,4.08964204788208,303345127
2020-03-16,4.104930975490008,4.204305557977586,4.013200759887695,4.013200759887695,260383878
2020-03-17,4.059065867688852,4.112575342375273,3.9367589135524343,4.013200759887695,197494404
2020-03-18,4.0361328462903545,4.089641947859232,3.936758279800415,3.936758279800415,196227016
2020-03-19,3.9367585782128147,3.974979315873002,3.8068072682606013,3.8756051063537598,245923695
2020-03-20,3.9061821439709408,4.013200727989694,3.9061821439709408,3.9902679920196533,196758082
2020-03-23,3.8832490782636175,3.9673352836758133,3.8756050765916585,3.906181812286377,129137248
2020-03-24,3.9749790006435317,3.9979117330237552,3.883248800129469,3.9520466327667236,177233535
2020-03-25,4.028488636016846,4.051421369361905,3.9749791678806603,4.028488636016846,192585566
2020-03-26,3.9979121996436695,4.00555620166031,3.952047094033451,3.9673354625701904,110846209
2020-03-27,4.020845062426305,4.143152014605412,3.9826239576185993,4.07435417175293,273511448
2020-03-30,4.0361336979126685,4.112575548071272,4.028489330645061,4.097287178039551,166019837
